Date,Infringement Dummy,Rule of Law Dummy,Budget Dummy,Financial Markets Dummy
01/23/2014,1,1,,
01/27/2014,1,1,,1
02/05/2014,1,1,,
02/20/2014,1,,,
03/28/2014,1,,,
03/31/2014,1,,,
04/16/2014,1,,,1
07/10/2014,1,,,
07/22/2014,1,,,
09/25/2014,1,,,1
11/25/2014,1,,,
11/26/2014,1,,,
01/29/2015,1,,,1
04/29/2015,1,,,
05/28/2015,1,,,1
06/18/2015,1,,,
07/16/2015,1,,,
07/22/2015,1,,,
09/23/2015,1,1,,1
10/22/2015,1,,,
11/20/2015,1,,,
01/27/2016,1,,,1
02/25/2016,1,,,
03/23/2016,1,,,
04/28/2016,1,,,
05/26/2016,1,,,1
06/16/2016,1,,,
07/22/2016,1,,,
07/27/2016,1,,,1
09/22/2016,1,1,,1
09/29/2016,1,,,
11/24/2016,1,,,1
12/08/2016,1,,,
01/24/2017,1,,,
02/15/2017,1,,,
05/17/2017,1,,,
05/31/2017,1,,,
06/14/2017,1,,,
07/19/2017,1,1,,1
07/28/2017,1,1,,
09/26/2017,1,,,1
10/04/2017,1,,,
11/23/2017,1,,,
01/24/2018,1,,,
01/25/2018,1,,,
03/08/2018,1,,,
03/22/2018,1,,,1
05/17/2018,1,1,,
06/07/2018,1,,,
07/02/2018,1,1,,
07/19/2018,1,,,
07/20/2018,1,1,,
09/24/2018,1,,,
11/22/2018,1,,,
01/24/2019,1,,,
01/30/2019,1,,,1
03/07/2019,1,,,1
03/20/2019,1,,,1
04/03/2019,1,1,,
06/06/2019,1,,,
07/23/2019,1,1,,
07/25/2019,1,1,,1
09/19/2019,1,,,
10/10/2019,1,,,
11/22/2019,1,,,
01/24/2020,1,,,
02/12/2020,1,,,
04/29/2020,1,1,,
05/14/2020,1,,1,1
05/28/2020,1,,,
07/02/2020,1,1,,
07/20/2020,1,,,
10/08/2020,1,,,
10/30/2020,1,,,
11/23/2020,1,,,
12/03/2020,1,1,,
12/17/2020,1,,,
02/03/2021,1,,,1
02/18/2021,1,1,,
03/18/2021,1,,,
06/09/2021,1,,,
07/15/2021,1,1,,
07/23/2021,1,,,1
09/23/2021,1,,,
09/30/2021,1,1,,1
11/25/2021,1,,,
12/02/2021,1,,,
12/22/2021,1,1,,
01/27/2022,1,1,,1
03/24/2022,1,,,
05/19/2022,1,,,
07/19/2022,1,,,1
09/20/2022,1,1,,
09/29/2022,1,,,
11/28/2022,1,,,
01/26/2023,1,1,,
02/15/2023,1,,,
03/22/2023,1,1,,
06/01/2023,1,1,,
